date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:50	142044/142044	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2010%20Nov%202022%2018:42:47%20GMT	https://images-eu.ssl-images-amazon.com/images/I/7195RJQQs1L.js?AUIClients/ACICAssets	C:/Users/johshh/Desktop/Work/Dev/amazon/images-eu.ssl-images-amazon.com/images/I/7195RJQQs1La250.js	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&)
17:39:51	105240/105240	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2016:39:51%20GMT	https://www.amazon.fr/ap/POST	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/POST	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&)
17:39:51	143574/143574	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202022%2016:39:52%20GMT	https://www.amazon.fr/ap/forgotpassword?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&mobileBrowserWeblabTreatment=C&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=3YHH4W2JJQHZF2JBB2EY&openid.assoc_handle=frflex&openid.mode=checkid_setup&desktopBrowserWeblabTreatment=C&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/forgotpassword92ad.html	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&)
17:39:52	170794/170794	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202022%2016:39:52%20GMT	https://www.amazon.fr/ap/register?showRememberMe=true&openid.pape.max_auth_age=0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&pageId=frflex&mobileBrowserWeblabTreatment=C&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&prevRID=3YHH4W2JJQHZF2JBB2EY&openid.assoc_handle=frflex&openid.mode=checkid_setup&desktopBrowserWeblabTreatment=C&prepopulatedLoginId=&failedSignInCount=0&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/register92ad.html	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&)
17:39:52	9669/9669	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2015%20Dec%202018%2022:50:47%20GMT	https://images-eu.ssl-images-amazon.com/images/I/31YXrY93hfL.js	C:/Users/johshh/Desktop/Work/Dev/amazon/images-eu.ssl-images-amazon.com/images/I/31YXrY93hfL.js	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&)
17:39:52	23/23	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2028%20Nov%202016%2008:22:04%20GMT	https://m.media-amazon.com/images/G/01/csm/showads.v2.js?dfp=-ad-pixel-&action=getads&adsrc=.adbanner.&adslots=_adsense.&adserver=-ad-300x250.	C:/Users/johshh/Desktop/Work/Dev/amazon/m.media-amazon.com/images/G/01/csm/showads.v2e564.js	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&)
17:39:53	104022/104022	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2016:39:53%20GMT	https://www.amazon.fr/ap/GET	C:/Users/johshh/Desktop/Work/Dev/amazon/www.amazon.fr/ap/GET.f.delayed	(from https://www.amazon.fr/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.fr%2F%3Fref_%3Dnav_custrec_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=frflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&)
17:39:53	27972/27972	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202020%2023:31:33%20GMT	https://m.media-amazon.com/images/S/sash/mPGmT0r6IeTyIee.png	C:/Users/johshh/Desktop/Work/Dev/amazon/m.media-amazon.com/images/S/sash/mPGmT0r6IeTyIee.png	(from https://images-eu.ssl-images-amazon.com/images/I/61zcRmYWpgL._RC|11Fd9tJOdtL.css,11tfezETfFL.css,31Q3id-QR0L.css,31U9HrBLKmL.css_.css?AUIClients/AmazonUI)
17:39:53	3702/3702	---M--	200	added ('OK')	image/gif	date:Tue,%2017%20Nov%202020%2023:31:31%20GMT	https://m.media-amazon.com/images/S/sash/tRfJHOgYB6QY-yf.gif	C:/Users/johshh/Desktop/Work/Dev/amazon/m.media-amazon.com/images/S/sash/tRfJHOgYB6QY-yf.gif	(from https://images-eu.ssl-images-amazon.com/images/I/61zcRmYWpgL._RC|11Fd9tJOdtL.css,11tfezETfFL.css,31Q3id-QR0L.css,31U9HrBLKmL.css_.css?AUIClients/AmazonUI)
17:39:54	3516/3516	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Dec%202020%2006:33:08%20GMT	https://m.media-amazon.com/images/S/sash/Pq46CmXZMTyTAdQ.png	C:/Users/johshh/Desktop/Work/Dev/amazon/m.media-amazon.com/images/S/sash/Pq46CmXZMTyTAdQ.png	(from https://images-eu.ssl-images-amazon.com/images/I/11niB2yr5DL.css?AUIClients/CVFAssets)
